연도,매출액,영업이익,당기순이익,ROE,기준연도,적용 영업이익(E),적용 영업이익 기준연도,적용 당기순이익(E),적용 당기순이익 기준연도,적용 ROE(E),적용 ROE 기준연도,적용 ROE 소스,종목코드,종목명
2021,135532.0,10676.0,12504.0,8.45,2026,25012.0,2028,21586.0,2028,1.54,2026,FnGuide 메인 재무테이블 올해 전망,A006400,삼성SDI
2022,201241.0,18080.0,20394.0,12.52,2026,25012.0,2028,21586.0,2028,1.54,2026,FnGuide 메인 재무테이블 올해 전망,A006400,삼성SDI
2023,214368.0,15455.0,20660.0,11.48,2026,25012.0,2028,21586.0,2028,1.54,2026,FnGuide 메인 재무테이블 올해 전망,A006400,삼성SDI
2024,165922.0,3633.0,5755.0,3.13,2026,25012.0,2028,21586.0,2028,1.54,2026,FnGuide 메인 재무테이블 올해 전망,A006400,삼성SDI
2025,132667.0,-17224.0,-5849.0,-3.15,2026,25012.0,2028,21586.0,2028,1.54,2026,FnGuide 메인 재무테이블 올해 전망,A006400,삼성SDI
2026,155829.0,-453.0,4258.0,1.54,2026,25012.0,2028,21586.0,2028,1.54,2026,FnGuide 메인 재무테이블 올해 전망,A006400,삼성SDI
2027,195728.0,14236.0,14981.0,5.43,2026,25012.0,2028,21586.0,2028,1.54,2026,FnGuide 메인 재무테이블 올해 전망,A006400,삼성SDI
2028,240965.0,25012.0,21586.0,7.27,2026,25012.0,2028,21586.0,2028,1.54,2026,FnGuide 메인 재무테이블 올해 전망,A006400,삼성SDI
2021,14856.0,1150.0,978.0,20.26,2026,3461.0,2028,2217.0,2028,2.2,2026,FnGuide 메인 재무테이블 올해 전망,A247540,에코프로비엠
2022,53576.0,3807.0,2727.0,24.26,2026,3461.0,2028,2217.0,2028,2.2,2026,FnGuide 메인 재무테이블 올해 전망,A247540,에코프로비엠
2023,69009.0,1560.0,547.0,-0.64,2026,3461.0,2028,2217.0,2028,2.2,2026,FnGuide 메인 재무테이블 올해 전망,A247540,에코프로비엠
2024,27668.0,-341.0,-585.0,-6.26,2026,3461.0,2028,2217.0,2028,2.2,2026,FnGuide 메인 재무테이블 올해 전망,A247540,에코프로비엠
2025,25316.0,1433.0,916.0,2.29,2026,3461.0,2028,2217.0,2028,2.2,2026,FnGuide 메인 재무테이블 올해 전망,A247540,에코프로비엠
2026,30335.0,1136.0,529.0,2.2,2026,3461.0,2028,2217.0,2028,2.2,2026,FnGuide 메인 재무테이블 올해 전망,A247540,에코프로비엠
2027,41581.0,2099.0,1171.0,5.51,2026,3461.0,2028,2217.0,2028,2.2,2026,FnGuide 메인 재무테이블 올해 전망,A247540,에코프로비엠
2028,54820.0,3461.0,2217.0,9.71,2026,3461.0,2028,2217.0,2028,2.2,2026,FnGuide 메인 재무테이블 올해 전망,A247540,에코프로비엠
2021,763323.0,92381.0,71959.0,13.97,2026,44861.0,2028,29209.0,2028,3.31,2026,FnGuide 메인 재무테이블 올해 전망,A005490,POSCO홀딩스
2022,847502.0,48501.0,35605.0,6.11,2026,44861.0,2028,29209.0,2028,3.31,2026,FnGuide 메인 재무테이블 올해 전망,A005490,POSCO홀딩스
2023,771272.0,35314.0,18459.0,3.18,2026,44861.0,2028,29209.0,2028,3.31,2026,FnGuide 메인 재무테이블 올해 전망,A005490,POSCO홀딩스
2024,726881.0,21736.0,9476.0,2.0,2026,44861.0,2028,29209.0,2028,3.31,2026,FnGuide 메인 재무테이블 올해 전망,A005490,POSCO홀딩스
2025,690949.0,18271.0,5044.0,1.18,2026,44861.0,2028,29209.0,2028,3.31,2026,FnGuide 메인 재무테이블 올해 전망,A005490,POSCO홀딩스
2026,729129.0,32592.0,20457.0,3.31,2026,44861.0,2028,29209.0,2028,3.31,2026,FnGuide 메인 재무테이블 올해 전망,A005490,POSCO홀딩스
2027,758558.0,40239.0,25328.0,4.06,2026,44861.0,2028,29209.0,2028,3.31,2026,FnGuide 메인 재무테이블 올해 전망,A005490,POSCO홀딩스
2028,784808.0,44861.0,29209.0,4.52,2026,44861.0,2028,29209.0,2028,3.31,2026,FnGuide 메인 재무테이블 올해 전망,A005490,POSCO홀딩스
2021,606736.0,-58465.0,-52156.0,-7.97,2026,148838.0,2028,91908.0,2028,10.92,2026,FnGuide 메인 재무테이블 올해 전망,A015760,한국전력
2022,712579.0,-326552.0,-244291.0,-46.9,2026,148838.0,2028,91908.0,2028,10.92,2026,FnGuide 메인 재무테이블 올해 전망,A015760,한국전력
2023,882195.0,-45416.0,-47161.0,-12.63,2026,148838.0,2028,91908.0,2028,10.92,2026,FnGuide 메인 재무테이블 올해 전망,A015760,한국전력
2024,933989.0,83647.0,36220.0,9.22,2026,148838.0,2028,91908.0,2028,10.92,2026,FnGuide 메인 재무테이블 올해 전망,A015760,한국전력
2025,974293.0,134906.0,86667.0,19.4,2026,148838.0,2028,91908.0,2028,10.92,2026,FnGuide 메인 재무테이블 올해 전망,A015760,한국전력
2026,985183.0,95894.0,55882.0,10.92,2026,148838.0,2028,91908.0,2028,10.92,2026,FnGuide 메인 재무테이블 올해 전망,A015760,한국전력
2027,999589.0,128988.0,76917.0,13.51,2026,148838.0,2028,91908.0,2028,10.92,2026,FnGuide 메인 재무테이블 올해 전망,A015760,한국전력
2028,1019735.0,148838.0,91908.0,14.25,2026,148838.0,2028,91908.0,2028,10.92,2026,FnGuide 메인 재무테이블 올해 전망,A015760,한국전력
2021,109909.0,8694.0,6458.0,10.67,2026,21107.0,2028,12253.0,2028,3.69,2026,FnGuide 메인 재무테이블 올해 전망,A034020,두산에너빌리티
2022,154211.0,11061.0,-4532.0,-11.7,2026,21107.0,2028,12253.0,2028,3.69,2026,FnGuide 메인 재무테이블 올해 전망,A034020,두산에너빌리티
2023,175899.0,14673.0,5175.0,0.78,2026,21107.0,2028,12253.0,2028,3.69,2026,FnGuide 메인 재무테이블 올해 전망,A034020,두산에너빌리티
2024,162331.0,10176.0,3947.0,1.52,2026,21107.0,2028,12253.0,2028,3.69,2026,FnGuide 메인 재무테이블 올해 전망,A034020,두산에너빌리티
2025,170579.0,7627.0,2052.0,1.11,2026,21107.0,2028,12253.0,2028,3.69,2026,FnGuide 메인 재무테이블 올해 전망,A034020,두산에너빌리티
2026,181338.0,11264.0,5068.0,3.69,2026,21107.0,2028,12253.0,2028,3.69,2026,FnGuide 메인 재무테이블 올해 전망,A034020,두산에너빌리티
2027,201243.0,16072.0,8733.0,6.23,2026,21107.0,2028,12253.0,2028,3.69,2026,FnGuide 메인 재무테이블 올해 전망,A034020,두산에너빌리티
2028,225878.0,21107.0,12253.0,8.0,2026,21107.0,2028,12253.0,2028,3.69,2026,FnGuide 메인 재무테이블 올해 전망,A034020,두산에너빌리티
2021,44866.0,-17547.0,-16998.0,-55.86,2026,27929.0,2028,22794.0,2028,22.32,2026,FnGuide 메인 재무테이블 올해 전망,A042660,한화오션
2022,48602.0,-16136.0,-17448.0,-117.79,2026,27929.0,2028,22794.0,2028,22.32,2026,FnGuide 메인 재무테이블 올해 전망,A042660,한화오션
2023,74083.0,-1965.0,1600.0,6.33,2026,27929.0,2028,22794.0,2028,22.32,2026,FnGuide 메인 재무테이블 올해 전망,A042660,한화오션
2024,107760.0,2379.0,5282.0,11.52,2026,27929.0,2028,22794.0,2028,22.32,2026,FnGuide 메인 재무테이블 올해 전망,A042660,한화오션
2025,127835.0,11676.0,12459.0,22.59,2026,27929.0,2028,22794.0,2028,22.32,2026,FnGuide 메인 재무테이블 올해 전망,A042660,한화오션
2026,136227.0,18210.0,15468.0,22.32,2026,27929.0,2028,22794.0,2028,22.32,2026,FnGuide 메인 재무테이블 올해 전망,A042660,한화오션
2027,153736.0,23283.0,18881.0,21.9,2026,27929.0,2028,22794.0,2028,22.32,2026,FnGuide 메인 재무테이블 올해 전망,A042660,한화오션
2028,167073.0,27929.0,22794.0,21.36,2026,27929.0,2028,22794.0,2028,22.32,2026,FnGuide 메인 재무테이블 올해 전망,A042660,한화오션
2021,66220.0,-13120.0,-14521.0,-36.89,2026,23628.0,2028,17669.0,2028,22.73,2026,FnGuide 메인 재무테이블 올해 전망,A010140,삼성중공업
2022,59447.0,-8544.0,-6274.0,-16.08,2026,23628.0,2028,17669.0,2028,22.73,2026,FnGuide 메인 재무테이블 올해 전망,A010140,삼성중공업
2023,80094.0,2333.0,-1556.0,-4.22,2026,23628.0,2028,17669.0,2028,22.73,2026,FnGuide 메인 재무테이블 올해 전망,A010140,삼성중공업
2024,99031.0,5027.0,539.0,1.77,2026,23628.0,2028,17669.0,2028,22.73,2026,FnGuide 메인 재무테이블 올해 전망,A010140,삼성중공업
2025,106500.0,8622.0,5358.0,13.74,2026,23628.0,2028,17669.0,2028,22.73,2026,FnGuide 메인 재무테이블 올해 전망,A010140,삼성중공업
2026,127441.0,15077.0,10464.0,22.73,2026,23628.0,2028,17669.0,2028,22.73,2026,FnGuide 메인 재무테이블 올해 전망,A010140,삼성중공업
2027,145119.0,20298.0,14959.0,25.61,2026,23628.0,2028,17669.0,2028,22.73,2026,FnGuide 메인 재무테이블 올해 전망,A010140,삼성중공업
2028,157253.0,23628.0,17669.0,23.91,2026,23628.0,2028,17669.0,2028,22.73,2026,FnGuide 메인 재무테이블 올해 전망,A010140,삼성중공업
2021,41431.0,3286.0,2349.0,17.18,2026,7950.0,2028,6263.0,2028,15.85,2026,FnGuide 메인 재무테이블 올해 전망,A064400,LG씨엔에스
2022,49697.0,3854.0,2650.0,17.21,2026,7950.0,2028,6263.0,2028,15.85,2026,FnGuide 메인 재무테이블 올해 전망,A064400,LG씨엔에스
2023,56053.0,4640.0,3324.0,19.05,2026,7950.0,2028,6263.0,2028,15.85,2026,FnGuide 메인 재무테이블 올해 전망,A064400,LG씨엔에스
2024,59826.0,5129.0,3649.0,18.32,2026,7950.0,2028,6263.0,2028,15.85,2026,FnGuide 메인 재무테이블 올해 전망,A064400,LG씨엔에스
2025,61295.0,5518.0,4392.0,17.35,2026,7950.0,2028,6263.0,2028,15.85,2026,FnGuide 메인 재무테이블 올해 전망,A064400,LG씨엔에스
2026,66306.0,6193.0,4923.0,15.85,2026,7950.0,2028,6263.0,2028,15.85,2026,FnGuide 메인 재무테이블 올해 전망,A064400,LG씨엔에스
